wine_id,wine_name,kind_id,country_id,cultivar,sweet_id,acid_id,body_id,tanin_id,proof,price,img
1707,헤스 알로미 까베르네 소비뇽,1,6,"Cabernet Sauvignon 89%, Petit Verdot 5%, Merlot 3%, Malbec 3%",1,3,4,4,13~14도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929031129051_9W47ZW6BI.jpg/W0145857.jpg?type=m250&wm=N
1708,"까사 델 토키, 꼰띠고 까베르네 소비뇽 2020",1,14,Cabernet Sauvignon,1,3,3,3,13~14도,"65,000원",https://dbscthumb-phinf.pstatic.net/3165_000_11/20210226012804833_MVHXX5CWC.png/W0168344.png?type=m250&wm=N
1709,"가야, 소리 산 로렌조 2017",1,11,Nebbiolo 100%,1,4,4,5,14~15도,"1,350,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20181115063130936_KYFOKOUXO.jpg/W0158308.jpg?type=m250&wm=N
1710,"카르멘, 와인 메이커스 리저브 레드 2013",1,14,Cabernet Sauvignon,1,5,5,5,14~15도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929032442393_1I2811FE1.jpg/W0142728.jpg?type=m250&wm=N
1711,"콜도르치아, 그라빠 디 브루넬로",6,11,Brunello 100%,1,1,5,1,40도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929034325306_4A9OEGSYG.jpg/W0157242.jpg?type=m250&wm=N
1712,텍스트북 나파 샤도네이 2018,2,6,Chardonnay 100%,1,3,4,1,14도,"112,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20181215071319465_S40WDIARP.jpg/W0153616.jpg?type=m250&wm=N
1713,"75, 소비뇽 블랑 2018",2,6,Sauvignon Blanc 100%,1,4,3,1,13~14도,"58,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190801080615331_R8ZITS1FU.jpg/W0148561.jpg?type=m250&wm=N
1714,"떼땅져, 꽁뜨 드 상파뉴 블랑 드 블랑 브뤼 2007",3,17,Chardonnay 100%,1,5,4,1,12도,"836,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929020515228_998CEO6EB.jpg/W0151816.jpg?type=m250&wm=N
1715,"엠 샤푸티에, 뤼브롱 2017",1,17,Grenache 100%,1,4,3,3,13~14도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_9/20190131012330682_S6EVP5AKM.png/W0164479.png?type=m250&wm=N
1716,샤또 롬보 1999,1,17,품종 정보가 없습니다.,5,3,5,3,도수 정보가 없습니다.,"160,000원",https://dbscthumb-phinf.pstatic.net/3165_000_12/20211215014051784_YM4UYDFEJ.png/T0170029_002.png?type=m250&wm=N
1717,"레오나르드 커리쉬, 산타 아니타 글루바인",7,4,Blend,3,1,4,1,8~9도,"9,800원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20191201082648167_E1F2GUU8N.jpg/W0166298.jpg?type=m250&wm=N
1718,코넌드럼 화이트 2019,2,6,"Muscat, Viognier, Semillon, Sauvignon Blanc, Chardonnay",1,3,3,1,13.5도,"67,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180415075821010_N02FQNFZ5.jpg/W0156716.jpg?type=m250&wm=N
1719,골든 버블 모스카토 NV,2,11,Moscato 100%,4,2,3,1,6~7도,"22,000원",https://dbscthumb-phinf.pstatic.net/3165_000_8/20171118012751469_G5GACIS9Y.jpg/W0149312.jpg?type=m250&wm=N
1720,샤또 몽페라 화이트 2016,2,17,"Sauvignon Blanc 80%, Semillon 20%",1,4,3,1,12~13도,"50,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929020236792_24K5YKHLQ.jpg/W0147665.jpg?type=m250&wm=N
1721,"라로쉬, 샤블리 생 마르땡 2018",2,17,Chardonnay 100%,1,4,3,1,12도,"83,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190401073433877_2ZDBAXF5H.jpg/W0139504.jpg?type=m250&wm=N
1722,"에이 투 지, 오레곤 피노 누아 2006",1,6,Pinot Noir 100%,1,5,3,3,13.5도,"84,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929055852397_DAFCTF3Y4.jpg/W0148979.jpg?type=m250&wm=N
1723,샤또 라울 그라브 루즈 2015,1,17,"Merlot, Cabernet Sauvignon, Petit Verdot",1,4,3,3,14~15도,"100,000원",https://dbscthumb-phinf.pstatic.net/3165_000_11/20210608012459715_YO494OJ7E.png/W0168788.png?type=m250&wm=N
1724,"투썩 점퍼, 래빗 모스카토 2017",2,7,Moscato 100%,4,1,2,1,도수 정보가 없습니다.,"32,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20181215071212959_BTG3ABAEL.jpg/W0161905.jpg?type=m250&wm=N
1725,샤조 데 부쵸,1,17,"Carignan/Carignane 50%, Grenache 50%",1,3,3,3,12~13도,"65,000원",https://dbscthumb-phinf.pstatic.net/3165_000_12/20210929014204136_WZC1E5ZO3.png/W0169335.png?type=m250&wm=N
1726,무똥 까데 화이트 2014,2,17,"Sauvignon Blanc 75%, Semillon 23%, Muscadelle 2%",1,3,3,1,13도,"40,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929042807599_XOM8U4WZ0.jpg/W0139028.jpg?type=m250&wm=N
1727,테스코 빈야드 호주 쉬라즈,1,19,Syrah/Shiraz,2,3,3,2,12.5도,"5,900원",https://dbscthumb-phinf.pstatic.net/3165_000_1/20141015033746499_7M9HJARNV.jpg/2014092410324022.jpg?type=m250&wm=N
1728,"그르기치 힐스, 나파 밸리 까베르네 소비뇽 2016",1,6,"Cabernet Sauvignon 89%, Petit Verdot 5%, Cabernet Franc 3%, Merlot 3%",1,3,5,4,14.5도,"210,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929025620176_KYK0SZZ4V.jpg/W0150939.jpg?type=m250&wm=N
1729,"조셉 칼, 카베르네 소비뇽 2017",1,6,Cabernet Sauvignon 100%,1,3,4,5,14~15도,"140,000원",https://dbscthumb-phinf.pstatic.net/3165_000_11/20201212012753205_MGGGFDC2X.png/W0165166.png?type=m250&wm=N
1730,"엘지아이 와인, 앙시앙 땅 까베르네 시라 2017",1,17,"Cabernet Sauvignon 50%, Syrah/Shiraz 50%",1,4,3,3,13도,"40,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180915064902710_5NSMG3S7S.jpg/W0161667.jpg?type=m250&wm=N
1731,"토레스, 그랑 코로나스 까베르네 소비뇽 리제르바 2016",1,7,"Cabernet Sauvignon 85%, Tempranillo 15%",1,3,3,3,13~14도,"38,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20181115062814586_80ECJUZCD.jpg/W0158429.jpg?type=m250&wm=N
1732,"블루 넌, 리슬링 와인 메이커스 패션 2016",2,4,Riesling 100%,3,5,3,1,10~11도,"35,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20200115082254493_AC463OAO6.jpg/W0137353.jpg?type=m250&wm=N
1733,미션 서드 샤도네이 2017,2,17,Chardonnay 100%,1,3,2,1,13도,"40,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929034805331_KJONZVL67.jpg/W0161250.jpg?type=m250&wm=N
1734,"그롱네, 블랑 드 누아",3,17,"Pinot Noir 50%, Pinot Meunier 50%",1,5,3,1,도수 정보가 없습니다.,"78,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929015433150_05N5G2IO8.jpg/W0162206.jpg?type=m250&wm=N
1735,"샤또 하야스, 샤또네프 뒤 빠쁘 루즈 2010",1,17,Grenache 100%,1,3,5,4,14~15도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929031523593_P4N6ZUWB1.jpg/W0144901.jpg?type=m250&wm=N
1736,"트라피체, 브로켈 까베르네 쇼비뇽 2016",1,8,Cabernet Sauvignon 100%,1,3,4,4,14도,"50,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190601071604588_PJLILZ5HA.jpg/W0137437.jpg?type=m250&wm=N
1737,"삐에르 아마디유, 지공다스 로마네 마초테 2016",1,17,"Grenache, Syrah/Shiraz, Mourvedre",1,3,4,3,14~15도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929030631374_NOHWQUYIC.jpg/W0142803.jpg?type=m250&wm=N
1738,샤또 테이시에 르 돔 2016,1,17,"Cabernet Franc 80%, Merlot 20%",1,4,4,4,도수 정보가 없습니다.,"1,040,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929020732579_2GPD1SPZD.jpg/W0155012.jpg?type=m250&wm=N
1739,"필리뽀나, 로얄 리저브 브뤼",3,17,"Pinot Noir, Chardonnay",1,5,3,1,도수 정보가 없습니다.,"160,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929050012255_VLQ82MZS5.jpg/W0151481.jpg?type=m250&wm=N
1740,"도멘 퐁소, 샤펠 샹베르땡 그랑 크뤼 2005",1,17,Pinot Noir 100%,1,5,4,3,도수 정보가 없습니다.,"2,754,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929055844259_RNEZTKEMP.jpg/W0148989.jpg?type=m250&wm=N
1741,"캔달 잭슨, 빈트너스 리저브 샤르도네 2019",2,6,Chardonnay 100%,1,3,3,1,13~14도,"50,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20181101064729361_8ECZRFLE0.jpg/W0141402.jpg?type=m250&wm=N
